PAS index,voxel count
0.0,19964602
1.0,65
2.0,59
3.0,50
4.0,49
5.0,48
6.0,42
7.0,45
8.0,37
9.0,36
10.0,35
11.0,46
12.0,33
13.0,33
14.0,33
15.0,36
16.0,31
17.0,30
18.0,30
19.0,30
20.0,29
21.0,29
22.0,29
23.0,32
24.0,27
25.0,27
26.0,27
27.0,27
28.0,27
29.0,28
30.0,26
31.0,26
32.0,26
33.0,29
34.0,25
35.0,26
36.0,25
37.0,24
38.0,24
39.0,23
40.0,23
41.0,23
42.0,27
43.0,34
44.0,22
45.0,22
46.0,22
47.0,22
48.0,21
49.0,21
50.0,20
51.0,20
52.0,20
53.0,20
54.0,31
55.0,19
56.0,23
57.0,18
58.0,18
59.0,18
60.0,18
61.0,18
62.0,18
63.0,18
64.0,17
65.0,17
66.0,16
67.0,16
68.0,16
69.0,16
70.0,16
71.0,16
72.0,15
73.0,15
74.0,15
75.0,17
76.0,14
77.0,18
78.0,15
79.0,14
80.0,14
81.0,14
82.0,14
83.0,14
84.0,13
85.0,13
86.0,16
87.0,13
88.0,13
89.0,13
90.0,13
91.0,13
92.0,13
93.0,13
94.0,13
95.0,13
96.0,16
97.0,12
98.0,12
99.0,11
100.0,11
101.0,11
102.0,11
103.0,12
104.0,11
105.0,11
106.0,11
107.0,11
108.0,11
109.0,11
110.0,11
111.0,16
112.0,10
113.0,10
114.0,13
115.0,10
116.0,10
117.0,10
118.0,10
119.0,10
120.0,10
121.0,9
122.0,9
123.0,9
124.0,9
125.0,9
126.0,9
127.0,9
128.0,9
129.0,8
130.0,8
131.0,8
132.0,8
133.0,8
134.0,8
135.0,8
136.0,9
137.0,8
138.0,11
139.0,8
140.0,7
141.0,7
142.0,7
143.0,7
144.0,7
145.0,7
146.0,7
147.0,7
148.0,7
149.0,7
150.0,7
151.0,7
152.0,6
153.0,6
154.0,6
155.0,6
156.0,6
157.0,6
158.0,6
159.0,6
160.0,6
161.0,6
162.0,6
163.0,6
164.0,6
165.0,6
166.0,6
167.0,8
168.0,6
169.0,6
170.0,6
171.0,6
172.0,6
173.0,6
174.0,6
175.0,7
176.0,6
177.0,6
178.0,5
179.0,5
180.0,5
181.0,5
182.0,8
183.0,5
184.0,5
185.0,5
186.0,5
187.0,5
188.0,6
189.0,5
190.0,5
191.0,5
192.0,5
193.0,4
194.0,4
195.0,4
196.0,4
197.0,4
198.0,4
199.0,4
200.0,4
201.0,4
202.0,4
203.0,4
204.0,4
205.0,4
206.0,4
207.0,9
208.0,4
209.0,11
210.0,4
211.0,4
212.0,4
213.0,4
214.0,4
215.0,3
216.0,3
217.0,3
218.0,3
219.0,3
220.0,4
221.0,3
222.0,3
223.0,3
224.0,3
225.0,3
226.0,3
227.0,3
228.0,3
229.0,3
230.0,3
231.0,3
232.0,3
233.0,3
234.0,3
235.0,3
236.0,3
237.0,3
238.0,3
239.0,3
240.0,3
241.0,3
242.0,3
243.0,3
244.0,5
245.0,3
246.0,3
247.0,3
248.0,3
249.0,3
250.0,2
251.0,2
252.0,2
253.0,2
254.0,2
255.0,2
256.0,2
257.0,2
258.0,2
259.0,2
260.0,2
261.0,2
262.0,2
263.0,2
264.0,2
265.0,2
266.0,2
267.0,2
268.0,2
269.0,2
270.0,2
271.0,2
272.0,2
273.0,2
274.0,2
275.0,2
276.0,2
277.0,2
278.0,5
279.0,2
280.0,2
281.0,5
282.0,2
283.0,2
284.0,2
285.0,2
286.0,2
287.0,1
288.0,1
289.0,1
290.0,1
291.0,1
292.0,1
293.0,1
294.0,1
295.0,1
296.0,1
297.0,1
298.0,1
299.0,1
300.0,1
301.0,1
302.0,1
303.0,1
304.0,1
305.0,1
306.0,1
307.0,1
308.0,1
309.0,1
310.0,1
311.0,1
312.0,1
313.0,1
314.0,1
315.0,1
316.0,1
317.0,1
318.0,1
319.0,1
320.0,1
321.0,1
322.0,1
323.0,1
324.0,1
325.0,1
326.0,1
327.0,1
328.0,1
329.0,1
330.0,1
331.0,1
332.0,1
333.0,1
334.0,1
335.0,1
336.0,1
337.0,1
338.0,1
339.0,1
340.0,1
