PAS index,voxel count
0.0,19966893
1.0,43
2.0,36
3.0,35
4.0,29
5.0,22
6.0,22
7.0,22
8.0,21
9.0,20
10.0,20
11.0,19
12.0,19
13.0,19
14.0,19
15.0,18
16.0,18
17.0,18
18.0,17
19.0,17
20.0,16
21.0,15
22.0,15
23.0,15
24.0,15
25.0,14
26.0,14
27.0,14
28.0,14
29.0,13
30.0,13
31.0,12
32.0,12
33.0,12
34.0,12
35.0,11
36.0,11
37.0,10
38.0,9
39.0,8
40.0,11
41.0,9
42.0,8
43.0,8
44.0,7
45.0,7
46.0,7
47.0,7
48.0,7
49.0,7
50.0,6
51.0,6
52.0,6
53.0,6
54.0,6
55.0,6
56.0,6
57.0,6
58.0,6
59.0,6
60.0,6
61.0,6
62.0,6
63.0,6
64.0,6
65.0,5
66.0,5
67.0,5
68.0,5
69.0,5
70.0,5
71.0,5
72.0,5
73.0,4
74.0,4
75.0,4
76.0,4
77.0,4
78.0,4
79.0,4
80.0,4
81.0,4
82.0,3
83.0,5
84.0,3
85.0,3
86.0,3
87.0,3
88.0,3
89.0,3
90.0,3
91.0,3
92.0,3
93.0,3
94.0,3
95.0,3
96.0,3
97.0,3
98.0,3
99.0,2
100.0,2
101.0,2
102.0,2
103.0,2
104.0,2
105.0,2
106.0,2
107.0,2
108.0,2
109.0,2
110.0,2
111.0,2
112.0,2
113.0,2
114.0,2
115.0,2
116.0,2
117.0,2
118.0,2
119.0,2
120.0,2
121.0,2
122.0,2
123.0,2
124.0,2
125.0,2
126.0,2
127.0,2
128.0,2
129.0,2
130.0,2
131.0,2
132.0,1
133.0,1
134.0,1
135.0,1
136.0,1
137.0,1
138.0,1
139.0,1
140.0,1
141.0,1
142.0,1
143.0,1
144.0,1
145.0,1
146.0,1
147.0,1
148.0,1
149.0,1
150.0,1
151.0,1
152.0,1
153.0,1
154.0,1
155.0,1
156.0,1
157.0,1
158.0,1
159.0,1
160.0,1
161.0,1
162.0,1
163.0,1
164.0,1
165.0,1
166.0,1
167.0,1
168.0,1
169.0,1
170.0,1
171.0,1
172.0,1
173.0,1
174.0,1
175.0,1
176.0,1
177.0,1
178.0,1
179.0,1
180.0,1
181.0,1
182.0,1
183.0,1
184.0,1
185.0,1
186.0,1
